gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
861692676	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3347	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea bislineata		SPECIES	Eurycea bislineata (Green, 1818)	Eurycea bislineata		US	on SR 775, 1 mi. SW Lecta, Mason Twp., Lawrence Co., Ohio	Ohio	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	38.6642	-82.4024							1961-03-18T00:00:00	18	3	1961	5218376	5218376	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3347			2012-01-01T00:00:00	CC_BY_4_0		Dennis, D. M.			2023-01-24T16:32:54.314Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692675	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3357	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	Desmognathus carolinensis		SPECIES	Desmognathus carolinensis Dunn, 1916	Desmognathus carolinensis		US	along small stream, 3482', Low Notch, Blue Ridge Parkway, North Carolina	North Carolina	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	35.2284	-82.8418							1961-04-01T00:00:00	1	4	1961	2431220	2431220	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3357			2012-01-01T00:00:00	CC_BY_4_0		Dennis, D. M., Tilley, S. G. & Hines, J. (John)			2023-01-24T16:32:54.314Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692674	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3333	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	Pseudotriton ruber		SPECIES	Pseudotriton ruber (Sonnini de Manoncourt & Latreille, 1801)	Pseudotriton ruber		US	along St. Rt. 160, NW of Appalachia, Wise Co., Virginia	Virginia	PRESENT	18	5ffa575c-fcd4-4583-9611-545f67b04316	36.9158	-82.8211							1961-08-29T00:00:00	29	8	1961	2431459	2431459	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3333			2012-01-01T00:00:00	CC_BY_4_0		Dennis, D. M.			2023-01-24T16:32:54.315Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692673	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3351	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	Desmognathus fuscus		SPECIES	Desmognathus fuscus (Rafinesque, 1820)	Desmognathus fuscus		US	1.5 mi W Baywood, Grayson Co., Virginia	Virginia	PRESENT	4	5ffa575c-fcd4-4583-9611-545f67b04316	36.6104	-81.0391							1961-05-06T00:00:00	6	5	1961	2431224	2431224	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3351			2012-01-01T00:00:00	CC_BY_4_0		Dennis, D. M., Adler, K. K. & Hirschfeld, C. J.			2023-01-24T16:32:54.315Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692672	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3372	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea bislineata		SPECIES	Eurycea bislineata (Green, 1818)	Eurycea bislineata		US	3 mi. SE Mallory, on SR 10, Logan Co., West Virginia	West Virginia	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	38.5004	-80.5001							1960-11-19T00:00:00	19	11	1960	5218376	5218376	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3372			2012-01-01T00:00:00	CC_BY_4_0		Dennis, D. M.			2023-01-24T16:32:54.314Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692671	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__330	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	Plethodon cinereus		SPECIES	Plethodon cinereus (Green, 1818)	Plethodon cinereus		US	Fort Ancient, Warren Co., Ohio, USA	Ohio	PRESENT	5	5ffa575c-fcd4-4583-9611-545f67b04316	39.4083	-84.0947							1929-10-14T00:00:00	14	10	1929	2431491	2431491	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 330			2012-01-01T00:00:00	CC_BY_4_0		Walker, C. F. (Charles F.)			2023-01-24T16:32:54.315Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692670	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3323	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	Plethodon cinereus		SPECIES	Plethodon cinereus (Green, 1818)	Plethodon cinereus		US	under rock along small stream near Scioto R., 2 mi. S Griggs Dam, Franklin Co., Ohio	Ohio	PRESENT	3	5ffa575c-fcd4-4583-9611-545f67b04316	39.9927	-83.0712							1956-03-04T00:00:00	4	3	1956	2431491	2431491	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3323			2012-01-01T00:00:00	CC_BY_4_0		Adler, K. K.			2023-01-24T16:32:54.314Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692669	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__3340	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	Plethodon glutinosus		SPECIES	Plethodon glutinosus (Green, 1818)	Plethodon glutinosus		US	on rd. cut along Co. Rd. 17, 1 1/2 mi S Utica, Washington Twp., Licking Co., Ohio	Ohio	PRESENT	4	5ffa575c-fcd4-4583-9611-545f67b04316	40.2136	-82.4586							1962-05-01T00:00:00	1	5	1962	2431539	2431539	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 3340			2012-01-01T00:00:00	CC_BY_4_0		Dennis, D. M., Tilley, S. G. & Snider, W. W.			2023-01-24T16:32:54.469Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692668	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__331	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	Eurycea bislineata		SPECIES	Eurycea bislineata (Green, 1818)	Eurycea bislineata		US	Salt Cr. Twp., Hocking Co., Ohio	Ohio	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	40.8424	-83.3044							1929-10-20T00:00:00	20	10	1929	5218376	5218376	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 331			2012-01-01T00:00:00	CC_BY_4_0		Stupka, A. (Arthur)			2023-01-24T16:32:54.469Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861692667	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__336	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	Desmognathus fuscus		SPECIES	Desmognathus fuscus (Rafinesque, 1820)	Desmognathus fuscus		US	near Buchtel, Athens Co., Ohio	Ohio	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	39.462	-82.1818							1929-10-27T00:00:00	27	10	1929	2431224	2431224	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 336			2012-01-01T00:00:00	CC_BY_4_0		Hicks, L. E. (Lawrence E.) & Trautman, M. B. (Milton Bernard)			2023-01-24T16:32:54.468Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
